genre,count
"Dramady Play/Drama",2
"Verse play",2
"40-60 min Comedy/Drama",2
"Lesbian full length",2
"Irish Comedy One act",2
"short adaptation",2
"50-60 min Comedy",2
"Childrens comedy Youth audience",2
"Scots Comedy Comedy",2
"2 act play",2
"Drama, mystery play, one act",2
"1h 40m Drama Comedy",2
"drawing-room comedy with songs One act with Music",2
"Musical celebration Musical",2
"90 min piece",2
"short play in adaptation",2
"comedic Drama Comedy",2
"Stage revue",2
"full length Drama",2
"short Drama",2
"childrens' musical",2
"80 min one act",2
"Childrens Musical Play Youth audience",2
"45-60 min Comedy/Drama",2
"historical drama",2
"rock musical",2
"30 min play",2
"5 min play",2
"full length TYA",2
"15 min One act",2
"Twelve minute play",2
"one act drama",2
"Urban storytelling",2
"Comedy. - - Gay/Lesbian, of interest",2
"Children's Musical",2
"biographical play",2
"full length Comedy",2
"Comedic Drama Comedy",2
"Ritual Morality Play",2
"0h 50m Comedy Drama",2
"musical biography",2
"3-5 min Comedy/Drama",2
"Romantic Drama",2
"Monologue Play/Drama",2
"Dark Comedy",2
"Musical theatre",2
"TYA 45 min",2
"Biographical",2
"satire One act",2
"55 min comedy",2
"family-oriented musicals Musical",2
"1h 40m Comedy Drama",2
"Dark Comedy Comedy",2
"adaptation. - - Gay, theme/character, full length",2
"Monologue Play/Drama. - - Gay, full length",2
"40 min One act",2
"65 min piece",2
"Play/Drama. - - AIDS, full length",2
"One Page",2
"Drama Ten min",2
"Stage play 5 scenes",2
"Translation One Act",2
"Ten minute play Comedy",2
"black comedy One act",2
"full length comedy drama",2
"Cabaret. - - Gay/Lesbian, musical",2
"Satire. - - Gay, full length",2
"Short Comedy",2
"anglo-Irish MeloDrama",2
"chamber musical",2
"Musical revue",2
"Musical Celebration Musical",2
"allegory",2
"Jewish Comedy One act",2
"Dramatic comedy",2
"45 min One act",2
"35 min piece",2
"Sketches in Sketch",2
"Gay/Lesbian musical",2
"drama Translation",2
"One Act Comedy",1
"8 min musical",1
"Horror, 30 minutes",1
