publisher,count
"Australian Script Centre, -",3
"One act Plays No 95, J. Garnet Miller, London, 1967 -",1
"Kenyon-Deane, 1964 -",1
"Methuen 1952",1
"in Testifyin' Volume 2, PLCN,",1
"New Theatre Publications (2004)",1
"Dramatic Publishing Inc -",1
"BMUKK (2004)",1
"Oberon Books, London , 2003",1
"Playwrights, Inc",1
"Samuel French Ltd, London 1953 -",1
"New Theatre Publications (2008)",1
"Boston theater Marathon XI - 2009 anthology - 50 Ten Minute Plays Boston theater Marathon XI - 2009 anthology - 50 Ten Minute Plays ~ By Kate Snodgrass (ed) - Smith and Kraus,",1
"Contained in: ""Ten Minute Plays From the Actors Theatre Louisville volume Six"" published by Samuel French Inc, New York",1
"Contained in: ""Automobile Graveyard and The Two Executioners"" published by Grove Press 1960",1
"Contained in: ""German Drama Between the Wars"" published by Dutton, New York, 1972",1
"in Clean House and Other Plays, Theatre Communications Group, USA, 2006",1
"Dramatists Play Service, NY, nd",1
"Oberon Books, London",3
"JAC Publishing, Oct 2007",1
"alfaraby publish house 2009",1
"in ""Plays & Players"" London, aug, 1968 -",1
"Deane's Series of Plays, Kenyon-Deane, London, 1953 -",2
"in 2007: the Best Ten-Minute Plays For 2 actors, Smith & Kraus; Lawrence Harbison edition (July 15, 2008)",1
"Oberon Modern Plays, London, 2000 -",1
"Samuel French, London",7
"Hill and Wang 1966",1
"Samuel French, Inc - New York (1998)",1
"Duckworth 1979",1
"in Seven Plays & Four Monologues, David Philip Publishers Ltd, Claremont, Sa, 1985 -",1
"Deane's Series of Plays, Kenyon-Deane, London, 1956 -",1
"Estreno Contemporary Spanish Plays; 1 edition (May 1, 1999)",1
"Deane's Series of Plays, Kenyon-Deane, London, 1954 -",2
"BMUKK (2010)",1
"Contained in: ""Martin Walser Rediscovered"" published by The University Press of New England, 1985 -",2
"Nick Hern Books, London , 2001 -",1
"Big Hand Theatre Company 1992 -",1
"Ollantay Magazine, 7/1993",1
"Evans Plays, London, 1968 -",1
"in Lynne Alvarez Collected Plays vol 1, Lyme, NH: Smith & Kraus, 1998",6
"Contained in: ""Short arabic Plays"" published by Interlink Books, New York, 2003 -",1
"Blizzard Publishing, Canada, 1996 -",1
"Contained in: ""She's always Liked Girls Best: Lesbian Plays"" published by Third Side Press 1993",3
"JAC Publishing, Jun 2008",1
"Humana Festival 1998: the Complete Plays, ed Michael Bigelow Dixon & amy Wegener, Smith & Kraus, 1998 -",1
"Plays To Order",8
"Samuel French, London, 1957 -",1
"Kenyon-Deane, 1954 -",2
"Nelson Thorne 2000",1
"Oberon Books (2016)",5
"Josef Weinberger Ltd",1
"New American Library, New York, 1986",1
"Dramatists Play Service, NY",1
"Moose Hide Books, Ontario, -",2
"Playwrights Co-op, Toronto, 1999 -",3
"(Scottish Plays No. 129). Brown, Son & Ferguson. N.D., -",1
"Samuel French, London, 1998 -",3
"Contained in: ""Dancing at Funerals"" published by ahadada Books 2010",6
"Canadian Theatre Review (CTR 19), 1978 -",1
"Eldridge Plays and Musicals -",1
"Jasper Publishing Ltd 2008",1
"in Oladipo Agboluaje: Plays One, Oberon Books (2013)",1
"in 2012, the Best 10-Minute Plays, Smith and Kraus Publishers",1
"Progressive Publishing Society, New Zealand -",1
"in ""Two Plays by Bruce Adam"", Samuel French, London (2014)",2
"Pubn: Scripts, vol. 1, no. 7, May, 1972 -",1
"Dramatists Play Service, NY, 1998",9
"Currency Press, Sydneyhttp://australianplays.org/script/ASC-1606 -",1
"Samuel French, NY, 1989",1
"Pluto Press, London, July 1978Capercaillie Books, Edinburgh",1
"in Boston Theatre Marathon of Ten Minute Plays Volume 2, Bakers Plays, -",1
"Currency Press, Sydney, 1995",2
"in NeXtFest anthology, NeWest Press edited Glenda Stirling, 2000 -",1
"Heuer Publications",2
"English Theatre Guild, London, 1957 -",1
"in ""Three Plays"", exposition, New York, 1965 -",3
"PLCN Chapbook, 1988 -",2
"Oberon Books (2018)",1
"Contained in: ""Plays From Woolly Mammoth"" published by Broadway Plays Publishing",1
"Samuel French, London, 1985 -",6
"Samuel French Inc, New York",3
"Macmillan, London, 1985 -",1
"Samuel French, NY, 1982 -",1
"Damora Books (Kindle) -",3
"Playwrights Canada Press 1995 -",1
"Grimpenmire Press -",1
"Australian Script Centre -",2
"Evans, London, 1963 -",1
"Samuel French, London, 1966 -",1
"in ""Six-Pack: Plays For Scotland"" Polygon, 1996",1
"Playwrights Canada Press 2018",1
"Contained in: Most Valuable Player and Four Other all-Star Plays for Middle and High School audiences"" published by Smith and Kraus 1999",1
"Grove Press, 1959",1
"Contained in: ""Selected Writings Volume One: The Plays"" published by University of Chicago Press 2006 -",1
"Pan Books, 1985 -",1
"Australian Nouveau theatre, 1981 -",1
"Bloomsbury Methuen Drama (January 27, 2015)",1
"SchoolPlay Productions Ltd, Colchester, essex, UK , 1996 -",1
"Samuel French, London, 1995",1
"NPD, 1978 -",1
"Lazy Bee Scripts, 2004 -",4
"American Theatre Magazine, New York - September, 1994Dramatists Play Service, 2002 -",1
"Contained in: ""Educational Theatre Journal volume 16 number One"" 1964",1
"Contained in: ""Best Plays of 1979 - 1980"" published by Dodd Mead -",1
"Kenyon-Deane, 1967 -",1
"Samuel French, London, 1953",3
"Evans Bros, London, 1966 -",1
"West Highland Publishing, Kileakin, Isle of Skye, 1973Methuen Drama; Revised illustrated ed edition (29 Oct 1981)",1
"(Scottish Plays No. 8). Brown, Son & Ferguson. N.D., -",2
"Guna Nua Theatre Company, www.gunanua.com -",1
"Contained in: ""Three Plays by Maxwell anderson"" published by Washington Square Press 1962 -",1
"Lazy Bee Scripts -",1
"Samuel French, London, 1991",2
"Playmarket, New Zealand -",1
"Applause books, 2010",1
"C N Potter, New York 1961",1
"Samuel French, Inc - New York (2011)",4
"Evans Bros, London, 1965 -",2
"Playwrights Co-Op, Toronto, 1972 -",1
"Woeli Pub Serv 1994",1
"Evans Bros, London, 1974 -",1
"Drama Source -",1
"Playwrights Co-op, Toronto, 1978 -",2
"Michael Weston Organisation, 2004 -",5
"Red Fern Theatre Company will present newly commissioned work by Rob Askins, J. Hotham, Anna Moench, Kristen Lee Rosenfeld and Luanne Aronen Rosenfeld, and Jen Silverman, all addressing the meaning of equality within the landscape of the 2012 election. -",1
"Random House, New York, 1968",1
"Samuel French, London, 1995 -",4
"athenaeum, New York, 1977 -",2
"(Flutter & Surviving Jonah Salt) Playlab Press, Australia, 2004",1
"Stories of Our Way: an anthology of American Indian Plays. Ed. Hanay Geiogamah and Jaye T. Darby. Los angeles: UCLa American Indian Studies Center, 1999 -",1
"(Scottish Plays No. 197). Brown, Son & Ferguson. N.D., -",1
"Nick Hern Books, London (2011)",2
"Contained in: ""Humana Festival 2013 The Complete Plays"" published by Playscripts Inc -",1
"- ang-64891",1
"Contained in: ""The Color Of Theater Race, Ethnicity And Contemporary Performance"" published by Continuum International Publishing Group 2002",1
"Nick Hern Books, London (2009)",1
"Nick Hern Books, London , 2008 -",1
"Nick Hern Books, London , 2004 -",1
"in Ewan MacColl Plays 1, Methuen (Oct 2009)",1
"Youth Publications -",1
"Dramatists Play Service, NY, 1953 -",1
"in ""eight Plays I"", Cassell, London, 1965 -",1
"Random House, NY, 1968",1
"Samuel French, NY, Contained in: ""Guernica and Other Plays"" published by Grove Press 1986",1
"the Australian Script Centre , 1997 -",1
"United Stages",3
"Collins educational (1 May 1996)",1
"JAC Publishing & Promotions (2013)",1
"Random House 1956 -",1
"Dramatists Play Service, NY, 1957 -",1
"in ""Out From Under"", Hern, London, -",1
"Kenyon-Deane, 1961 -",2
"Samuel French, Inc., 1979 -",3
"Grimpenmire Press 1996 -",1
"in Small Talk: eight Ten-Minute Plays, Samuel French, Inc - New York (2011)",1
"Yale theatre, Vol. 6, Box 854, Meriden, CT 06450, -",2
"in Boston Theatre Marathon of Ten Minute Plays Volume 3, Bakers Plays, -",2
"Contained in: ""Noosa One act Winners volume One"" published by Playlab 1993 -",1
"Samuel French, London, 1977Methuen Drama, London",1
"Chatto & Windus, London, 1979 -",1
"in anderson, M. Four verse playsDramatists Play Service, NY, 1998 -",1
"Amber Lane Press, Oxford, 1988 -",1
"amuru Print, New York, 1974 -",1
"Wedge Press 1983",1
"Josef Weinberger (2009) -",1
"Kenyon-Deane, 1966 -",1
"Traverse Publishing, 2003",1
"Dramatic Publishing Company 1974 -",1
"Samuel French, London, 2005",2
"in West Coast Plays, Finglow Plays, -",1
"(Scottish Plays No. 160). Brown, Son & Ferguson. N.D., -",1
"(Scottish Plays No. 153). Brown, Son & Ferguson. N.D., -",1
"Brooklyn Publishers",4
"in ""New Edinburgh Review, August, 1975",1
"- rca-61997",1
"in New South African Plays, edited by Charles Fourie, Aurora Metro Press, London, UK , 2006",1
"Samuel French, London (acting edition) - click here to order , 2004Faber and Faber Ltd, London (2011) -",1
"More 10-Minute Plays for Teens, edited by Lawrence Harbison. Published by Applause Theatre & Cinema Books, 2015",1
"Samuel French, London, 1942Davis Poynter 1972",1
"Contained in: ""Best American Short Plays 2004 - 2005"" published by Applause Books",1
"Samuel French, Inc",1
"Stay Thirsty Publishing 2013 -",1
"JAC Publishing, Jan 2009",1
"JAC Publishing, aug 2005",1
"Samuel French, London, 1956",1
"Evans Bros, London, 1962 -",2
"Playwrights Co-op, Toronto, -",27
"Rajkamal Publications, India, -",2
"New Theatre Publications (2010)",1
"http://www.indietheaternow.com/Play/the-danger-of-strangers",1
"in ""On New Ground"", Theatre Communications Group, New York, 1986",1
"in ""Contemporary Plays by Women of Color"" Routledge, London, 1996 -",1
"Heinemann, London, 1988",2
"Contained in: ""Best Plays 1961 - 1962"" published by Dodd Mead",1
"athenaeum-Houghton Mifflin, New York, 1963 -",1
"(Village Drama Society Plays), Kenyon-Deane, nd -",1
"(""Deane's"" Series of Plays). KD. 1955 -",1
"Contained in: ""The Best Plays Of 1924 - 1925"" published by Dodd Mead 1925 -",1
"Contained in: ""the Mill"" published by Playwrights Canada Press 2011",1
"Methuen Modern Play, London, 1979 -",1
"the London Play Company Ltd, 1935",1
"Eldridge Publications, 1958 -",1
"Lintel, New York 2001",1
"Methuen Drama, London (2012)",1
"http://classics.mit.edu/Aeschylus/persians.php,",1
"Contained in: ""Four Plays By Arrabal"" published by John Calder 1962",1
"Currency Press, Australia (2012)",2
"Moore Books, Australia",1
"Goethe-Institut, 1994",2
"Contained in: ""Outstanding Short Plays Volume Two"" published by Dramatists Play Service -",1
"in eleven Short Plays by William Inge, Dramatists Play Service, New York, -",1
"Coward-McCann, New York, 1961 -",1
"ableman, Paul, Tests, 1966 -",1
"Love Shook My Heart 2:Lesbian Love Stories, alyson, 2001 -",1
"L'Oeil du Prince (Paris, France), Oct 2012",1
"Random House 1956",1
"(Scottish Plays No. 120). Brown, Son & Ferguson. N.D., -",1
"Brown, Son & Ferguson, 1975 -",1
"in ""Here and Now Project: June"", http://www.indietheaternow.com/Plays -",2
"Faber and Faber, London, 1995 -",1
"Humana Festival 1997: The Complete Plays, ed Michael Bigelow Dixon & Liz Engleman, Smith & Kraus, 1997 -",1
"Bakers Plays, -",2
"in ""Here and Now Project: August"", http://www.indietheaternow.com/Plays -",2
"University of the West Indies, Mona, 1967 -",2
"in ""Three Hundred Sixty Degrees of Blackness Comin' at You"", 5X Pub Co, New York, 1971 -",1
"Contained in: On The Road again"" published by Srene Books -",3
"in anderson, M. Four verse playsSamuel French, NY, 2000 -",1
"Rodgers and Hammerstein Organization",1
"(Scottish Plays No. 161). Brown, Son & Ferguson. N.D., -",1
"Contained in: ""Drama Review 13"" 1968",1
"in Noosa one-act winners Volume 2, Brisbane : Playlab Press, 1994",1
"Script obtainable from: https://www.peteraterman.com",1
"in ""Three Plays"", Penguin, London, 1964 -",1
"University of the West Indies, St augustine, Trinidad, 1967 -",1
"Contained in: ""Four Lively Plays For Boys""",1
"Contained in: ""The Womens Project: Seven New Plays By Women"" published by arts Journal Publications & american Place Theatre 1980 -",1
"Oberon Books (2014)",1
"Kenyon-Deane, 1956 -",2
"PLCN Chapbook, 1982 -",1
"Contained in: ""Arrabal Plays volume Two"" published by Calder and Boyars 1967",2
"Nuage editions, 1994 -",1
"Applause Theatre & Cinema Books, The Best American Short Plays: 2008-2009 (2010) -",1
"Samuel French Ltd, London, 1954",1
"the London Play Company Ltd, 1934",1
"Xlibris Corp 2012",1
"Faber and Faber, London, 1993 -",2
"Macmillan 1968",1
"(Scottish Plays No. 171). Brown, Son & Ferguson. N.D., -",1
"in One act Plays Series 2, Richmond, Vic : Heinemann educational Australia, c1982",1
"Procenium Press, 1986 -",1
"Methuen, London; OUP, London, 1950",1
"anderson House Pub, 1987 -",1
"Samuel French, London, 1975",1
"Yale theatre, Vol. 2, Box 854, Meriden, CT 06450, -",1
"Oberon Books (2012)",3
"in New Connections 2009, Faber and Faber, London and National theatre Methuen Drama, London (2012)",1
"Samuel French 1991",1
"Australian Script centre -",1
"Anderson Publishing -",5
"Dramatists Play Service, Inc. NY (2009)",1
"Colombine Teaterforlag, -",1
"Faber and Faber Ltd, London (2015)",2
"in ""exploring the Black experience in America"", Peters, New York, 1976 -",2
"Oval House 1995 -",1
"JAC Publishing, Jul 2007",1
"Samuel French Inc, New York, 1989 -",1
"Dramatists Play Service, NY, 1955 -",1
"English Theatre Guild, London, 1963 -",1
"Penquin Books, 1994",1
"(Scottish Plays no. 180) Brown, Son & Ferguson. N.D., -",1
"New Theatre Publications (1999)",4
"Steele Spring Stage Rights, www.stagerights.com -",3
"Dramatic Publishing Inc (Dec 1998)",1
"In Plague of the Gorgeous & Other Tales, G. Gordon Shillingford Publishing (Scirocco Drama), 1996 -",1
"Contained in: ""West Coast Plays 17/18"" published by West Coast Plays 1985",6
"Contained in: ""Funny Shorts"" published by Broadway Play Publishing 2014",7
"in ""New Plays Quarterly No.66"" Evans Brothers, London, 1964 -",1
"Methuen Drama",19
"in Best Contemporary Monologues For Kids Ages 7-15 (Applause Theater and Cinema Books)",2
"Playscripts, Inc (2012)",1
"Contained in: ""Siberia and Other Plays"" published by ariadne Press, 1994 -",1
"Contained in: ""Aeschylus II"" published by University of Chicago Press"" 2013",1
"Dramatists Play Service, Inc. NY (2015)",10
"Nick Hern Books",1
"Random House 1954",1
"Playwrights Co-op, Toronto, 1997 -",4
"in Mojisola adebayo: Plays One, Oberon Books (2011)",3
"Playlab, Australia",2
"Contained in: ""Sykes-Picot: The Legacy - Five Modern Plays"" published by CreateSpace Independent Publishing 2015",1
"Contained in: ""the Saint Plays"" published by Johns Hopkins University Press, 2000 -",1
"Contained in: ""Euripides Plays volume Four"" published by University Chicago Press 1958 -",1
"Eyre Methuen, London, 1974",1
"JAC Publishing, Apr 2005",1
"Faber and Faber, London, 1986 -",2
"a Rose is a Rose, is published by Dramatic Publishing.",1
"Contained in: ""A Knife To Thy Throat and Nine Other One Act Plays"" published by Book Society of Canada 1962 -",1
"The Gilligan Variations. Plays to Order",1
"Dramatists Play Service, NY,",12
"Josef Weinberger Ltd (2011)",1
"Oberon Books, London , 2007",2
"Contained in: ""Snappy Shorts at The Tarragon"" published by Playwrights Canada Press 2005",1
"Faber and Faber, London, 1996",1
"Samuel French, London, 1993 -",1
"Lazy Bee Scripts, UK, 2008 -",2
"Preston editions",1
"London Play Company 1937",1
"Contained in: ""Cootie Shots"" published by Theatre Communications Group",1
"Samuel French, Inc - New York (2013)",2
"Contained in ""the Infernal Machine and Other Plays"" published by New Directions 1967",1
"Warner Chappell Plays, London, 1996 -",1
"Play Press",1
"Samuel French, NY, 1962 -",1
"Samuel French, NY, 1963 -",2
"Samuel French, London, 1960",2
"Dramatists Play Service, NY, 2009",1
"Contained in: ""What Would Happen If. . ..?"" published by Plays To Order",2
"Playwrights Guild of Canada",3
"in the Trial of Mallam Ilya and Other Plays, Woeli Publishing Services, accra, Ghana, 1987",3
"Contained in: ""Three Caribbean Plays"" published by Longman 1979",1
"in ""Plays 1"" Methuen, London, 1991",1
"Oxford University Press",1
"Kenyon-Deane, 1960 -",2
"Baker's Playservice,",3
"Contained in: ""ensemble Studio Theatre Marathon 2000: the One act Plays"" published by Faber and Faber 2001 -",1
"in ""Plays & Players"" London, feb/Mar, 1973 -",1
"in Playing With Canons: Explosive New Works from Great Literature by America's Indie Playwrights, The New York Theatre Experience, Inc",1
"in Hewes, H. ed. Famous American plays of the 1940's -",1
"Oberon, London,",1
"in the Fall of Kumbi and Other Plays, Woeli Publishing Company, accra, Ghana, 1989",3
"Coward-McCann, New York 1952",1
"Contained in: ""Folk Tale Plays From around The World"" published by Scholastic -",8
"Nick Hern Books, London (2010)",1
"Dramatic Publishing, Woodstock, Illinois (1994)",1
"Contained in: ""Ten Out Of Ten: Ten Winning Plays Selected from the Young Playwrights Festival 1982 -1991"" published by Delacorte, 1992",1
"Contained in: ""Arrabal Plays volume Three"" published by Calder and Boyars 1970",1
"Faber and Faber, London, -",6
"Hodder Childrens Books 2003",1
"http://classics.mit.edu/Aeschylus/seventhebes.php,",1
"published as Plugged-in, in Plays and Players, London Nov 1972",1
"Contained in: ""Arrabal Plays volume One"" published by Calder and Boyars 1962",2
"Childrens Press, Chicago 1977 -",1
"Talon Books (2013)",3
"Published In the Arts and Letters Journal Of Contemporary Culture",1
"Australianplays.org, 13 Feb 2014 -",1
"Lazy Bee Scripts, 1998 -",1
"JAC Publishing & Promotions, Burlington, MA",3
"- kingsteve1",1
"Evans Bros, London, -",1
"in Michael Abbensetts Four Plays, Oberon, London, 2001",3
"- http://www.indietheaternow.com/Play/planting-the-seed",1
"Plays for Young audiences -",1
"Playscript 58, Calder and Boyars, London, 1971 -",1
"Vantage, New York, 1976 -",1
"Contained in: ""Love Christopher Street"" published by Chelsea Station Editions 2012",1
"Contained in: ""Twentieth Century Scottish Drama"" published by Cannongate 2001Bloomsbury Methuen Drama, London (2013)",1
"Contained in: ""Ten Peace Plays"" published by J M Dent 1938 -",1
"Contained in: ""Three Masterpieces of Cuban Drama"" published by Green Integer 2000",3
"Dramatic Publishing Company, -",4
"New theatre Publications (1997)",3
"American Theatre Magazine, New York - July, 1995 -",3
"in manuscript, Dramatist Play Service, NY, -",1
"Contained in: ""Down Came a Jumbuck and Other One act Plays"" published by Playlab 1983 -",1
"New Theatre Publications (2005)",3
"Samuel French, Inc - New York (2010)",5
"in Voiceworks Series 2, Longman-Pearson education Aust, 2002",1
"in Miscellany One, Poetry Wales Press, 1981 -",1
"Samuel French, London, 1950Oberon Books (2013)",1
"Amber Lane Press, Oxford. also published in asking and Telling (anthology), Stage and Screen, 2000, 1996",1
"Oberon Books, London, 1990",1
"www.ziontheatricals.com, 2013 -",1
"Humana Festival 2001: the Complete Plays, ed Tanya Palmer & amy Wegener, Smith & Kraus, 2001 -",1
"I e Clark, (now Dramatic Publishing) -",7
"English Theatre Guild, London, -",1
"University of the West Indies, Mona, 1977 -",1
"athenaeum, New York, 1969 -",2
"Contained in: ""Funny Shorts"" published by Broadway Plays 2014",6
"Faber and Faber Ltd, London (2013)",5
"Nuage Editions, 1997 -",1
"in ""The Fire This Time Festival Season Four"", http://www.indietheaternow.com/Plays -",1
"PUC, 2001 -",1
"Contained in: ""Plays For The Nuclear Age"" published by Playwrights Press 1989",1
"in ""Drama Review, 12, 4"", 1968 -",1
"Faber and Faber, London, 2005",1
"Contained in: ""Best Plays of 1928 - 1929"" published by Dodd Mead 1929 -",1
"(Scottish Plays No. 192). Brown, Son & Ferguson. N.D., -",1
"Dramatists Play Service, Inc. NY",1
"Big Dog Publishing, FL, USA , 2005 -",1
"Big Dog Publishing, FL, USA , 2006 -",1
"Seagull Books 1989",1
"Methuen New theatrescripts, Eyre Methuen, London, 1977",1
"Contained in: ""Plays Children Love volume Two"" published by St Martin's Press 1992",1
"Samuel French, NY, 1983 -",1
"Nick Hern Books, London, 1990 -",1
"http://www.indietheaternow.com/Plays -",25
"Ginn, 1993 -",1
"in ""Plays Of The Year Vol.14"", Elek, London, 1956 -",1
"Greenberg Press, 1942 -",1
"Kenyon-Deane, 1959 -",1
"(Scottish Plays. No. 172). Brown, Son & Ferguson. N.D., -",1
"- -2",1
"Brooklyn Publishers -",3
"Collins Educational 2003",1
"Valentine Mitchell, London, 1973 -",1
"Nick Hern Books, London, 1998 -",1
"Hobbs, Walton on Thames, Surrey, 1970",1
"Contained in: ""Stunning and Other Plays"" published by Theatre Communications Group Inc 2012Samuel French, Inc - New York (2014)",2
"in 2009: the Best 10-Minute Plays for Two or More actors, Smith & Kraus (December 1, 2009)",3
"Dramatists Play Service, NY, 2005",1
"Samuel French, London, 1983 -",6
"Nuage Editions, 1994 -",1
"Dramatists Play Service, NY, 2004",1
"Arts & Letters (2007 -",1
"in Four Playlettes, Friendsgip Press, New York, 1956 -",2
"Evans Bros, London, 1963 -",1
"in Young Men's Monologues 2015-2016 (Pioneer Drama, publishers)",1
"in ""Guernica & Other Plays"" Grove Press, New York,",1
"Contained in: ""Prometheus Bound and Other Plays"" published by Penguin,",3
"Eldridge Plays, -",1
"The Best Stage Scenes 1997, Smith & KrAus Book -",1
"Contained in: ""The Best American Short Plays 1998-1999"" published by Applause Books, -",1
"Contained in ""Ten Minute Theatre"" published by HeuerPublishing -",1
"Fats Print Publishing, 2014",1
"One act Play No 85, J. Garnet Miller, London, 1963 -",1
"Canto vol3 no1, 1979 -",1
"Contained in: ""No exit and Three Other Plays"" published by Vintage International -",1
"Oberon Books, London , 2000",1
"BMUKK (2003)",1
"Contained in: ""Eleven Verse Plays 1929 - 1939"" published by Harcourt Brace 1940 -",1
"Currency Press, 2020",1
"Contained in: ""the Best Plays 1924 1925"" published by Dodd Mead 1925",1
"the text has been published in issue 38 of Banipal. the French translation appeared in issue 18 of siecle 21.",1
"(Flutter & Surviving Jonah Salt, Playlab Press, Australia,",1
"Faber and Faber Ltd, London (2017)",1
"Contained in: ""Two Classical Comedies"" published by Appleton-Century-Crofts 1967 -",1
"Contained in: ""the Plays of Tom anselmo volume One - Gail's Place"" published by Red Brindle Press, -",2
"Contained in: ""Acting Out: Six One Act Plays"" published by Atheneum Books 2010",1
"in ""Soldier, Soldier and Other Plays"", Methuen, London, 1967 -",2
"in ""Vols 1 & 2"" French, London, 1985 -",1
"Dover Publications 2004",1
"(Scottish Plays No. 130). Brown, Son & Ferguson. N.D., -",1
"Dramatic Publishing Company,",2
"Contained in: ""excuse Me Sir, But Is My eye Hurting Your elbow?"" published by Bernard Geiss Associates, New York 1968",1
"Samuel French, London, 1989 -",2
"in ""New English Dramatists 3"", Penguin, London, 1961 -",1
"Contained in: ""Reza Abdoh"" published by Johns Hopkins University Press 1999",1
"Humana Festival 1996: The Complete Plays, ed Michael Bigelow Dixon & Liz Engleman, Smith & KrAus, 1996 -",1
"Methuen Drama B002AGe9J0",1
"Contained in: ""Three Plays For Rural Audiences"" published by Forest Forge 2008",1
"Contained in: O Solo Homo"" published by Grove Press 1998",1
"Playlab Press, Australia,",1
"Vicking Press, New York, 1978 -",1
"Methuen, 1960",1
"in Scottish Shorts, Nick Hern Books, London (2010)",1
"Contained in: ""Modern Theatre volume Five"" published by Doubleday anchor -",1
"Contained in: ""Plays and Playwrights 2010"" published by New York Theatre Experience 2010",1
"Lazy Bee Scripts, UK, 2009 -",2
"Humana Festival 2001: the Complete Plays, ed Tanya Palmer & amy Wegener, Smith & Kraus, 2001",1
"Contained in: ""Four Modern French Comedies"" published by Capricorn Books 1960",1
"Michael Weston Organisation, 2001 -",4
"Canada Playwrights Press 2017",1
"in Winner On the Dark Side, One act Play Depot , 2002 -",1
"Contained in: ""Schnitzler Plays and Stories"" published by Continuum 1982 -",1
"Contained in: ""Theatre Arts"" published by National Textbook Company 1997 -",3
"the Australian Script Centre , 2001 -",1
"Dramatists Play Service, NY, 1956 -",1
"Hodder and Stoughton, 1990 -",1
"Samuel French Ltd, London 1939 -",1
"in ""Theatre Two"",Ad Donker, Johannesburg, SA (1981)Contained in: ""Seven Plays and Four Monologues"" published by David Philips",1
"Confrontation/ Change Review, USA, 1979 -",1
"a Decade Of New Comedy: Plays From The Humana Festival, Volume One, Edited by Michael Bigelow Dixon and Michele Volansky, Heinemann, 1996 -",1
"the Players' Account, London, 1999 -",1
"Playwrights for Tomorrow, University of Minnesota Press, Minneapolis, MN, -",1
"Contained in: ""Humana Festival 2013: The Complete Plays"" published by Playscripts Inc -",1
"the http://Australianplays.org/ , 1988",1
"Random House, New York, 1960 -",1
"Lazy Bee Scripts, 2005 -",7
"in breck, F E. ed. Playlets and poems for church schools -",1
"Contained in: ""Pixies, Kings and Magical Things: Four Tales by Hans Christian Andersen"" published by Dramatic Publishing Company -",4
"Deane's Series of Plays, Kenyon-Deane, London, 1955 -",1
"in Plays and Playwrights 2009, The New York Theatre Experience, Inc",1
"Feedaread, Marysan Editions, May 2012",1
"Deane, London, 1958 -",1
"The Other Otter www.theotherotter.com",1
"Warner Chappell Plays, London, -",1
"Playwrights Canada Press -",1
"Samuel French, Inc - New York (2009)",4
"in ""The Arab Shakespeare Trilogy"", Bloomsbury Methuen Drama, London (2014)",2
"in Off Off Broadway Festival Plays, 35th Series, Samuel French, Inc. (January 19, 2011)",1
"Methuen Drama -",12
"Contained in: ""EST Marathon 1998 - the One Act Plays"" published by Smith and Kraus 1999",1
"Contained in: ""the Liberator"" June 1970 -",1
"Kenyon-Deane, 1962 -",1
"Contained in ""Selected Yiddish Plays volume One"" published by Iuniverse 2007",2
"Published in German translation, -",2
"Random House, New York, 1967 -",1
"in ""The Best Plays From The Strawberry One-Act Festival (Volume 7)"", iUniverse (29 April 2013)",2
"Contained in: ""Today I am"" published by Dramatic Publishing Company -",5
"in Ten Minute Plays From actors Theatre Of Louisville, Vol 3, Samuel French NY -",1
"Canadian Theatre Review,",1
"JAC Publishing, Oct 2006",1
"Hutchinson, London, 1948 -",1
"Deane's Series of Plays, Kenyon-Deane, London, 1959 -",1
"in ""North Dakota Quarterly"", Spring, 1957 -",1
"G. Gordon Shillingford Publishing (Scirocco Drama), 1993",1
"self published, nd -",1
"English Theatre Guild, London, 1955 -",2
"French, London & in ""The London Magazine"", London, May, 1959",1
"in The CTR anthology, University of Toronto Press, 1993 -",1
"Best American Short plays, edited by William W Demastes, published by Applause Theatre and Cinema Books",1
"Samuel French Ltd, London 1931",1
"Faber and Faber 2019",1
"Viking Press, New York, 1965 -",1
"in ""Hellman, Lillian, Collected Plays"" Macmillan, London, 1972",2
"alpha, Canada, 1978 -",1
"Pluto Press, 5 vols., 1977 -",1
"in ""Time to grease"", ed. Buriel Clay, -",1
"Eldridge Publishing (published as The Pirate Princess), 2007 -",1
"(Scottish Plays No. 163). Brown, Son & Ferguson. N.D., -",1
"Contained in: ""the Oresteia"" published by Broadway Play Publishers",3
"Contained in: Best Plays From the Strawberry One act Festival Volume Three"" published by iUniverse 2006",1
"JAC Publishing & Promotions (2004)",1
"Currency Press, Sydney, 1985",1
"Doubleday, 1972",1
"in ""Plays & Players"" London, aug/Sep, 1963 -",1
"Cyberpress",1
"Anchorage Press 1977 -",1
"Calder & Boyers, London, 1962",1
"in ""Second Playbill 3"" Hutchinson, London, 1982 -",1
"Playwrights, Toronto, 1984 -",1
"(Scottish Plays No. 147). Brown, Son & Ferguson. N.D., -",1
"Dramatists Play Service, Inc, 2011",1
"in Off-Off Broadway Festival Plays, 31st Series, Samuel French, Inc - New York , 2007 -",2
"irishplayography.com , 2005",1
"In Return Engagement Vol 2, seniortheatre.com -",10
"http://www.caoseditorial.com/libros/ficha.asp?lg=en&id=34,",1
"in ""Plays By Women Vol.7"" Methuen, London, 1988",1
"Michael Weston Organisation, 2005 -",2
"Samuel French, London, 1985",1
