publisher,count
"FQ Books (July 6, 2010) B003YMO4eO",1
"Samuel French Ltd, London 1903 -",1
", -",2
"Off The Wall Plays, 2012.",1
"Contained in: ""Confirmation"" published by Morrow & Co 1983 -",1
"Scottish Plays No. 154). Brown, Son & Ferguson, -",1
"(Scottish Plays No. 159). Brown, Son & Ferguson. N.D., -",1
"Contained in: Word Plays Five: New American Drama published by PaJ Publications 1 Jun 1986",1
"Prentice Hall 1970",1
"(Scottish Plays No. 187). Brown, Son & Ferguson. N.D., -",1
"Samuel French, London, 1965",1
"Published, -",6
"New Playwrights Network -",1
"Samuel French, NY, -",21
"Ventus Books, 70 Nottingham Road, Burton Joyce, Notts, NG14 19, (2015)",1
"Broadway Play Publishing, New York, 1991 -",1
"Currency Press, Australia",1
"I e Clark, -",1
"Contained in: ""Women Playwrights the Best Plays of 2001"" published by Smith and Kraus 2002",1
"Michael di Capua Books, New York, 1998 -",1
"Samuel French, NY, 1955 -",1
"Applause Theatre & Cinema Books, The Best American Short Plays: 2005-2006 (2008)",1
"Samuel French, NY,",13
"Big Hand Theatre Company 1991 -",1
"in THREE PLaYS by Anthony aKERMaN (Witwatersrand University Press) -",2
"in ""Plays 2"" Faber, London, 1998 -",1
"published in French - Richard III: une tragedie arabe (Paris: L'avant-scene theatre, 2008)in ""The Arab Shakespeare Trilogy"", Bloomsbury Methuen Drama, London (2014)",1
"Evans Bros, London, 1964 -",3
"the http://australianplays.org/ , 1986 -",1
"Samuel French, London, 1974 -",2
"in One acts of Note 2008, Desert Road Publishing; (February 4, 2009)",1
"http://www.broadwayplaypubl.com/grapes.php",1
"in Class Acts: New Plays for Children to Act, Oberon Books (2009)",1
"Samuel French, London, 1996",1
"in Plays and Playwrights 2008, the New York Theatre experience, Inc",1
"Samuel French, London, 2002 -",1
"Faber and Faber Ltd, London -",3
"Contained in: ""Frontline Drama Six New French Plays"" published by Methuen 2000",1
"Contained in: ""Plays For A New Theater: Playbook Two"" published by New Directions 1966 -",1
"athenaeum, New York, 1966 -",2
"in Smith, B and others, eds, a treasury of non-royalty one-act plays -",1
"Playscripts -",1
"Methuen Drama, London",10
"JAC Publishing, 2012 -",1
"Contained in: ""Post-Black Plays"" published by Methuen Drama 2012",1
"Scorpion Press, 1967 -",1
"Longman, London, 1970 -",1
"Amber Lane Press, Oxford, 1997",1
"in Prometheus Bound and other plays, Penguin, London, 1961",1
"The White Review, No 10, April 2014Oberon Books (2016)",1
"Faber and Faber",1
"New theatre Publications, -",1
"Taking place in the dripping heat of an east Texas afternoon, Kyle Holley has returned home from New York City to confront his past and divulge his secrets over an afternoon of fishing with his father. When they run into one-time family friend Bobby Cartman, a brooding alcoholic with secrets of his own, intentions are swept away as their chance encounter forces unforeseen confrontation. In an environment where honest emotions are seldom discussed, five men on a fishing barge must battle to sort out their sordid history and move forward with their lives. -",1
"Oberon, London, 20044 -",1
"(Scottish Plays No. 180). Brown, Son & Ferguson. N.D., -",1
"(Scottish Plays No. 158). Brown, Son & Ferguson. N.D., -",1
"Cambridge University Press,",1
"Quekett, 1957 -",1
"Oberon Books (2004)",5
"Contained in ""Two Plays By Roger Casement"" published by Vagabond Voices 2016",2
"Contained in: ""10 By 10"" published by Dramatic Publishing Company -",2
"Samuel French, NY, 1961 -",1
"Nuage editions, 1996 -",2
"Playwrights Canada Press, 1989Theatre Communications Group (June 1989)",1
"Allen and Miles, London, 1975 -",1
"in New Plays from ACT's Young Conservatory vol III, Smith and Kraus,",1
"(Scottish Plays No. 41). Brown, Son & Ferguson. N.D., -",1
"Smith and Kraus, Inc. in NEW PLAYWRIGHTS: the BEST PLAYS OF 2012 -",1
"Playdead Press -",1
"Samuel French, London,",1
"Original Works, Los Angeles -",1
"in Staging Asylum: Contemporary Australian Plays About Refugees, Currency Press, Australia (2013)",1
"Deane, London, 1933",1
"- in The Best Short plays 1957",1
"Heartland Plays Inc -",1
"Lazy Bee Scripts, 2003 -",4
"Contained in: ""Four Verse Plays by Maxwell anderson"" published by Harcourt Brace 1959 -",1
"University of Toronto Press, Toronto, 1976 -",1
