LEVEL,RULE,RULETEXT,FILENAME,LOCATION
error,no-inferrable-types,"Type boolean trivially inferred from a boolean literal, remove type annotation",#/src/db-types/author/Author.class.ts,65:3
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/db-types/author/Author.class.ts,132:38
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/db-types/author/Author.class.ts,330:57
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/db-types/author/Author.class.ts,360:44
error,no-unsafe-assignment,Unsafe assignment of an `any` value,#/src/db-types/author/Author.class.ts,374:11
error,no-unsafe-member-access,Unsafe member access .metadata on an `any` value,#/src/db-types/author/Author.class.ts,375:25
error,no-unsafe-member-access,Unsafe member access .metadata on an `any` value,#/src/db-types/author/Author.class.ts,376:29
error,no-unsafe-member-access,Unsafe member access .metadata on an `any` value,#/src/db-types/author/Author.class.ts,377:29
error,no-unsafe-member-access,Unsafe member access .metadata on an `any` value,#/src/db-types/author/Author.class.ts,378:29
error,no-unsafe-member-access,Unsafe member access .isOrganization on an `any` value,#/src/db-types/author/Author.class.ts,380:25
error,no-unsafe-member-access,Unsafe member access .isOrganization on an `any` value,#/src/db-types/author/Author.class.ts,381:29
error,no-unsafe-return,Unsafe return of a value of type `any`,#/src/db-types/author/Author.class.ts,384:5
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/db-types/author/author.types.ts,7:13
warning,import/order,There should be at least one empty line between import groups,#/src/db-types/play/Play.class.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/db-types/play/Play.class.ts,2:1
warning,consistent-type-imports,All imports in the declaration are only used as types. Use `import type`,#/src/db-types/play/Play.class.ts,3:1
warning,import/order,There should be at least one empty line between import groups,#/src/db-types/play/Play.class.ts,3:1
warning,import/order,`./play.types` import should occur before type import of `mongodb`,#/src/db-types/play/Play.class.ts,3:1
warning,import/order,`../../utils/dbUtils` import should occur before type import of `mongodb`,#/src/db-types/play/Play.class.ts,9:1
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/db-types/play/Play.class.ts,71:40
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/db-types/play/Play.class.ts,103:44
error,no-unsafe-assignment,Unsafe assignment of an `any` value,#/src/db-types/play/Play.class.ts,132:11
error,no-unsafe-member-access,Unsafe member access .metadata on an `any` value,#/src/db-types/play/Play.class.ts,133:25
error,no-unsafe-member-access,Unsafe member access .metadata on an `any` value,#/src/db-types/play/Play.class.ts,134:29
error,no-unsafe-return,Unsafe return of a value of type `any`,#/src/db-types/play/Play.class.ts,137:5
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/db-types/play/play.types.ts,7:13
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/db-types/play/play.types.ts,78:6
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/IndexPage.ts,1:1
warning,import/order,`@playwright/test` type import should occur after type import of `./__BasePage`,#/src/page-models/IndexPage.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/IndexPage.ts,2:1
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/IndexPage.ts,5:6
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/IndexPage.ts,7:6
error,consistent-indexed-object-style,A record is preferred over an index signature,#/src/page-models/IndexPage.ts,7:13
